Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Everyday Life,Old Friends (Demo),"OG Filename: OLD FRIENDS PET RikMonMix X 20190314A
Earlier version of the mix below.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,⭐ Old Friends (Spike Ref),"OG Filename: OLD FRIENDS SPIKE REF 1
Longer version - extra verse and chorus.",3:30,,"Jun 17, 2024",OG File,Lossless,Old Friends
Everyday Life,Orphans (Early Demo),Recorded by Chris as a rough demo. This was the last song written and recorded for the mainline album.,,,N/A,Confirmed,Not Available,N/A
Everyday Life,Orphans (Spike Ref),"OG Filename: ORPHANS SPIKE REF 1
Final 'The Lovers' mix of the song.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,✨ Orphans (2019 Demo),"OG Filename: ORPHANS GH new voc + half intro ref X 20190616U
More acoustic version with a rougher vocal take and extra lyrics.",3:48,,"Mar 29, 2024",OG File,Lossless,Orphans
Everyday Life,Rescue Street,An acoustic guitar labelled 'Rescue St.' was seen in 2019.,,,N/A,Confirmed,Not Available,N/A
Everyday Life,Sail It Away [V1],"OG Filename: SAIL IT AWAY RikMonMix A 20171207C
Part of the Tuscany Sessions. Related to Wedding Bells.",11:00,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Sail It Away [V2],"OG Filename: SAIL IT AWAY WC Drums RikMonMix B 20171207C
Part of the Tuscany Sessions. Related to Wedding Bells.",20:00,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Sail It Away [V3],"OG Filename: SAIL IT AWAY RikLappyMonMix 20171207G
Part of the Tuscany Sessions. Related to Wedding Bells.",10:02,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Shine A Light (2018),"BROKEN (SHINE A LIGHT) WS comp ref X 20180628D
Early version of BrokEn.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Shine A Light (Spike Ref),"BROKEN (SHINE A LIGHT) WS comp ref WP 20190325A
Final 'The Lovers' mix of the song.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Sine Spe Recuperandi,"Registered to ASCAP in early 2019. Translates to ""Without Hope Of Recovery"".",,,N/A,Confirmed,Not Available,N/A
Everyday Life,Strawberry Jam,"OG Filename: STRAWBERRY JAM RikLiveMonMix 20171206E
Instrumental jam from the Tuscany Sessions.",15:31,,N/A,Snippet,Medium Quality,"Snippet 1
Snippet 2"
Everyday Life,Sunrise (Demo 1),Played only on piano.,,,N/A,Confirmed,Not Available,N/A
Everyday Life,"Sunrise (Demo 2)
(feat. Davide Rossi)",Featured Davide Rossi adding harmonies to the first demo.,,,N/A,Confirmed,Not Available,N/A
Everyday Life,That Brother Is My Sister,Registered to ASCAP.,,,N/A,Confirmed,Not Available,N/A
Everyday Life,Tiramisu (Jam),Jam played on the AHFOD tour featuring an early version of Tiramisu.,,,N/A,Partial,Screen Recording,LINK NEEDED
Everyday Life,Tiramisu (Tuscany),"OG Filename: TIRAMISU jam RikMonMix 20171207E
Jam from the Tuscany Sessions.",8:32,,N/A,Snippet,Medium Quality,Snippet
Everyday Life,⭐ Treasure,"OG Filename: TREASURE A+F HAM new V3 vrs ref X 20200914H
Features the intro of Biutyful slightly pitched down with gunshots being sampled.",3:43,,"Jun 18, 2024",Full,High Quality,Treasure
Everyday Life,Trouble in Town (90BPM Jam),Mentioned by Chris in the jam below. Had a 'high part' from Jonny.,,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Trouble in Town (Tuscany),"OG Filename: TROUBLE IN TOWN RikMonMix 20171207D
Long jam of the band creating the song from the ground up.",18:02,,N/A,Not Publicly Available,Not Available,N/A
